,ppCode,Carpark Name,Total Lots,Lot Type,Parking System,WeekDay Rates,WeekDay Minimum,Saturday Rates,Saturday Minimum,Sunday & PH Rates,Sunday & PH Minimum,Start Time,End Time
185,BL116,BACKLANE BET KAMPONG KAPOR/UPPER DICKSON RD,10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
186,BL118,BACKLANE BET DICKSON ROAD/UPPER WELD ROAD,5,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
187,BL120,BACKLANE BET CUFF ROAD /VEERASAMY ROAD,11,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
188,BL124,BACKLANE BET HINDOO ROAD/ROWELL ROAD,4,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
189,BL128,BACKLANE OFF ROWELL ROAD,8,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
190,BL132,BACKLANE OFF DESKER ROAD,6,Motorcycle,Coupon,$0.65,570 mins,$0.65,570 mins,$0.00,0 mins,08:30,17:00
191,BL137,BACKLANE OFF SAM LEONG ROAD,13,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
192,BL138,BACKLANE BET KELANTAN LANE/KELANTAN ROAD,8,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
193,BL141,BACKLANE BET TOWNSHEND ROAD/JALAN BESAR,8,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
194,BL144,BACKLANE BET KITCHENER ROAD/PLUMER ROAD,5,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
195,BL151,BACKLANE OFF CAVAN ROAD,5,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
196,BL172,BACKLANE BET ARAB STREET/JALAN PINANG,10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
197,BL177,BACKLANE OFF BAGHDAD STREET,10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
198,BL180,BACKLANE BET JALAN SULTAN/ALIWAL STREET,20,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
199,BL192,BACKLANE OFF FARLEIGH AVENUE,15,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
200,BL193,BACKLANE OFF SERANGOON GARDEN WAY,8,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
201,BL196,BACKLANE OFF BLAIR RD/ SPOTTISWOODE PARK ROAD,11,Motorcycle,Coupon,$0.65,900 mins,$0.65,900 mins,$0.65,900 mins,07:00,22:00
202,BL201,BACKLANE OFF JALAN BERSEH,19,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
203,BL204,BACKLANE BET CLIVE STREET/MADRAS STREET,11,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
204,BL208,BACKLANE BET BAGHDAD STREET/MUSCAT STREET,19,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
205,BL209,BACKLANE OFF MOHD ALI LANE/ANN SIANG HILL,6,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
206,BL210,BACKLANE OFF NORTH BRIDGE ROAD,5,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
207,BL212,BACKLANE BET ONAN ROAD / JOO CHIAT ROAD,6,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
208,C0004,CARPENTER STREET ,35,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
209,C0004,CARPENTER STREET ,35,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
210,C0009,CHANDER ROAD ,13,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
211,C0011,CHEONG CHIN NAM ROAD ,66,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
212,C0011,CHEONG CHIN NAM ROAD ,27,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
213,C0022,CLUB STREET ,29,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
214,C0022,CLUB STREET ,29,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
215,C0022,CLUB STREET ,7,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
216,C0028,CUFF ROAD ,40,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
217,C0036,CLAYMORE ROAD ,4,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
218,C0036,CLAYMORE ROAD ,4,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
219,C0036,CLAYMORE ROAD ,2,Heavy Vehicle,Coupon,$2.40,30 mins,$2.40,30 mins,$1.20,30 mins,08:30,17:00
220,C0036,CLAYMORE ROAD ,2,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,17:00,22:00
221,C0036,CLAYMORE ROAD ,42,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
222,C0038,CLAYMORE HILL ,10,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
223,C0038,CLAYMORE HILL ,10,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
224,C0038,CLAYMORE HILL ,2,Heavy Vehicle,Coupon,$2.40,30 mins,$2.40,30 mins,$1.20,30 mins,08:30,17:00
225,C0038,CLAYMORE HILL ,2,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,17:00,22:00
226,C0038,CLAYMORE HILL ,25,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
227,C0039,CORONATION WALK ,10,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
228,C0041,CHIN BEE ROAD ,55,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
229,C0045,CHIN BEE DRIVE ,29,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
230,C0053,CAIRNHILL ROAD SERVICE ROAD,12,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
231,C0055,CHOA CHU KANG WAY ,58,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
232,C0057,CASUARINA ROAD ,10,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
233,C0058,CLEMENCEAU AVENUE ,15,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
234,C0058,CLEMENCEAU AVENUE ,15,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
235,C0063,CHENG YAN PLACE ,4,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
236,C0063,CHENG YAN PLACE ,4,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
237,C0063,CHENG YAN PLACE ,3,Heavy Vehicle,Coupon,$2.40,30 mins,$2.40,30 mins,$1.20,30 mins,08:30,17:00
238,C0063,CHENG YAN PLACE ,3,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,17:00,22:00
239,C0063,CHENG YAN PLACE ,15,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
240,C0097,CAMPBELL LANE ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
241,C0098,CLIVE STREET ,16,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
242,C0098,CLIVE STREET ,2,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$0.00,0 mins,08:30,22:00
243,C0104,CAVAN ROAD ,13,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
244,C0110,COOK STREET ,5,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
245,C0110,COOK STREET ,5,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
246,C0113,CHANGI ROAD (BET JALAN KEMBANGAN/STILL ROAD),61,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
247,C0114,CHANGI ROAD SERVICE ROAD,38,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
248,C0118,CEYLON ROAD ,14,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
249,C0119,CEYLON ROAD OFF STREET ,23,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
250,C0119,CEYLON ROAD OFF STREET ,23,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
251,C0119,CEYLON ROAD OFF STREET ,23,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
252,C0120,CHIA PING ROAD ,18,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
253,C0122,CHANGI VILLAGE ROAD ,21,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:00
254,C0122,CHANGI VILLAGE ROAD ,2,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,22:00
255,C0122,CHANGI VILLAGE ROAD ,25,Motorcycle,Coupon,$0.65,900 mins,$0.65,900 mins,$0.65,900 mins,07:00,22:00
256,C0126,CHANGI SOUTH AVENUE 2 ,12,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
257,C0126,CHANGI SOUTH AVENUE 2 ,18,Motorcycle,Coupon,$0.65,570 mins,$0.65,570 mins,$0.00,0 mins,08:30,17:00
258,C0128,CHANGI SOUTH AVENUE 4 ,28,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
259,C0128,CHANGI SOUTH AVENUE 4 ,12,Motorcycle,Coupon,$0.65,570 mins,$0.65,570 mins,$0.00,0 mins,08:30,17:00
260,C0129,CHANGI SOUTH STREET 1 ,58,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
261,C0129,CHANGI SOUTH STREET 1 ,4,Motorcycle,Coupon,$0.65,570 mins,$0.65,570 mins,$0.00,0 mins,08:30,17:00
262,C0130,CHANGI SOUTH STREET 2 ,77,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
263,C0130,CHANGI SOUTH STREET 2 ,20,Motorcycle,Coupon,$0.65,570 mins,$0.65,570 mins,$0.00,0 mins,08:30,17:00
264,C0132,CHANGI ROAD (BET JOO CHIAT ROAD/STILL ROAD),61,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
265,C0132,CHANGI ROAD (BET JOO CHIAT ROAD/STILL ROAD),10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
266,C0133,CARPENTER STREET OFF STREET,69,Car,Electronic,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,07:00,11:00
267,C0133,CARPENTER STREET OFF STREET,69,Car,Electronic,$1.50,30 mins,$1.50,30 mins,$0.60,30 mins,11:00,14:00
268,C0133,CARPENTER STREET OFF STREET,69,Car,Electronic,$1.50,30 mins,$1.50,30 mins,$0.75,30 mins,14:00,17:00
269,C0133,CARPENTER STREET OFF STREET,69,Car,Electronic,$0.75,30 mins,$0.75,30 mins,$0.60,30 mins,17:00,22:30
270,C0133,CARPENTER STREET OFF STREET,69,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
271,C0133,CARPENTER STREET OFF STREET,69,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
272,C0133,CARPENTER STREET OFF STREET,9,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
273,C0133,CARPENTER STREET OFF STREET,9,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
274,C0134,CIRCUIT ROAD ,67,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
275,C0134,CIRCUIT ROAD ,67,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
276,C0134,CIRCUIT ROAD ,67,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
277,C0134,CIRCUIT ROAD ,18,Motorcycle,Coupon,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
278,C0134,CIRCUIT ROAD ,18,Motorcycle,Coupon,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
279,C0135,CRANE ROAD ,4,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
280,C0136,CEYLON LANE ,6,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
281,C0142,CHANG CHARN ROAD ,10,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
282,C0142,CHANG CHARN ROAD ,10,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
283,C0142,CHANG CHARN ROAD ,10,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
284,C0147,CHANGI ROAD / JALAN WAKAFF OFF STREET,15,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
285,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),243,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
286,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),243,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
287,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),243,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
288,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),7,Heavy Vehicle,Electronic,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,22:30
289,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),7,Heavy Vehicle,Electronic,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,22:30,07:00
290,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),7,Heavy Vehicle,Electronic,$10.00,510 mins,$10.00,510 mins,$10.00,510 mins,22:30,07:00
291,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),11,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
292,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),11,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
293,C0151,CHANGI BEACH PARK CP 1 ,66,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
294,C0151,CHANGI BEACH PARK CP 1 ,2,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$0.00,0 mins,08:30,17:00
295,C0152,CHANGI BEACH PARK CP 2 ,21,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
296,C0153,CHANGI BEACH PARK CP 3 ,37,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
297,C0154,CHANGI BEACH PARK CP 4 ,79,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
298,C0154,CHANGI BEACH PARK CP 4 ,2,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$0.00,0 mins,08:30,17:00
299,C0155,CHANGI BEACH PARK CP 5 ,39,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
300,C0156,CHANGI BEACH PARK CP 6 ,33,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
301,C0157,CHANGI NORTH CRESCENT ,16,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,19:00
302,C0158,CHANGI NORTH RISE ,13,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,19:00
303,C0159,CHANGI NORTH STREET 1 ,14,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,19:00
304,C0160,CHANGI NORTH STREET 2 ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,19:00
305,C0161,CHANGI SOUTH LANE ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,19:00
306,C0161,CHANGI SOUTH LANE ,0,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
307,C0162,CLEMENCEAU AVENUE OFF STREET,31,Car,Electronic,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,07:00,17:00
308,C0162,CLEMENCEAU AVENUE OFF STREET,31,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:30
309,C0162,CLEMENCEAU AVENUE OFF STREET,31,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
310,C0162,CLEMENCEAU AVENUE OFF STREET,31,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
311,C0162,CLEMENCEAU AVENUE OFF STREET,5,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
312,C0162,CLEMENCEAU AVENUE OFF STREET,5,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
313,D0001,DEVONSHIRE ROAD ,9,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
314,D0001,DEVONSHIRE ROAD ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
315,D0002,DUBLIN ROAD ,7,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
316,D0002,DUBLIN ROAD ,7,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
317,D0004,DICKSON ROAD ,35,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
318,D0004,DICKSON ROAD ,0,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
319,D0005,DUNLOP STREET ,55,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
320,D0005,DUNLOP STREET ,17,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
321,D0006,DUXTON HILL OFF STREET ,58,Car,Electronic,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,07:00,17:00
322,D0006,DUXTON HILL OFF STREET ,58,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:30
323,D0006,DUXTON HILL OFF STREET ,58,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
324,D0006,DUXTON HILL OFF STREET ,58,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
325,D0009,DESKER ROAD ,87,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
326,D0009,DESKER ROAD ,18,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
327,D0010,DUXTON ROAD ,42,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
328,D0010,DUXTON ROAD ,42,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
329,D0010,DUXTON ROAD ,2,Heavy Vehicle,Coupon,$2.40,30 mins,$2.40,30 mins,$1.20,30 mins,08:30,17:00
330,D0010,DUXTON ROAD ,2,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,17:00,22:00
331,D0011,DUXTON HILL ,8,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
332,D0012,DALHOUSIE LANE ,4,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
333,D0017,DUNEARN CLOSE ,24,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
334,D0026,DICKSON ROAD OFF STREET,43,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
335,D0026,DICKSON ROAD OFF STREET,43,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
336,D0026,DICKSON ROAD OFF STREET,43,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
337,D0026,DICKSON ROAD OFF STREET,6,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
338,D0026,DICKSON ROAD OFF STREET,6,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
339,D0027,DUNMAN ROAD FOOD CENTRE OFF STREET,10,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
340,D0027,DUNMAN ROAD FOOD CENTRE OFF STREET,1,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
341,D0028,DELTA CIRCUS FRINGE CAR PARK,74,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
342,D0028,DELTA CIRCUS FRINGE CAR PARK,74,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
343,D0028,DELTA CIRCUS FRINGE CAR PARK,74,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
344,D0028,DELTA CIRCUS FRINGE CAR PARK,157,Heavy Vehicle,Electronic,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
345,D0028,DELTA CIRCUS FRINGE CAR PARK,40,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
346,D0028,DELTA CIRCUS FRINGE CAR PARK,40,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
347,D0029,DAIRY FARM ROAD / PETIR ROAD HV PARK,225,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
348,E0006,ENGGOR STREET ,12,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
349,E0006,ENGGOR STREET ,12,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
350,E0006,ENGGOR STREET ,4,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
351,E0009,EMERALD HILL ROAD ,35,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,07:00,17:00
352,E0009,EMERALD HILL ROAD ,35,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:30
353,E0009,EMERALD HILL ROAD ,35,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
354,E0009,EMERALD HILL ROAD ,35,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
355,E0010,EUNOS ROAD 7 / EUNOS AVE 6 HVP,145,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
356,E0011,EMERALD LINK ,9,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,07:00,17:00
357,E0011,EMERALD LINK ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:30
358,E0011,EMERALD LINK ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
359,E0011,EMERALD LINK ,9,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
360,E0011,EMERALD LINK ,14,Motorcycle,Coupon,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
361,E0011,EMERALD LINK ,14,Motorcycle,Coupon,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
362,E0017,EAST COAST ROAD (HAIG ROAD/TELOK KURAU ROAD),63,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
363,E0017,EAST COAST ROAD (HAIG ROAD/TELOK KURAU ROAD),28,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
364,E0022,EVERTON ROAD ,13,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,07:00,17:00
365,E0022,EVERTON ROAD ,13,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
366,E0023,EAST COAST PARK E3 OFF STREET,42,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
367,E0023,EAST COAST PARK E3 OFF STREET,42,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
368,E0023,EAST COAST PARK E3 OFF STREET,42,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
369,E0023,EAST COAST PARK E3 OFF STREET,2,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
370,E0023,EAST COAST PARK E3 OFF STREET,2,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
371,E0024,EAST COAST PARK E2 OFF STREET,353,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
372,E0024,EAST COAST PARK E2 OFF STREET,353,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
373,E0024,EAST COAST PARK E2 OFF STREET,353,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
